member_id,member_key,membership_type,effective_date,end_date
MEM000008,0,Basic,14-05-2025,
MEM000508,0,Family,14-05-2025,
MEM000012,0,Premium,03-10-2024,
MEM000014,0,Student,17-06-2023,
MEM000021,0,Family,26-03-2023,
MEM000023,0,Basic,27-10-2023,
MEM000029,0,Premium,26-12-2022,
MEM000042,0,Family,26-03-2023,
MEM000044,0,Premium,07-01-2023,
MEM000047,0,Premium,01-02-2024,
MEM000005,0,Basic,11-12-2023,
MEM000011,0,Basic,29-04-2023,
MEM000017,0,Student,28-11-2023,
MEM000028,0,Premium,05-04-2024,
MEM000034,0,Student,26-05-2024,
MEM000036,0,Basic,23-02-2023,
MEM000037,0,Premium,10-08-2023,
MEM000046,0,Basic,04-10-2024,
MEM000004,0,Premium,15-05-2025,
MEM000006,0,Family,28-04-2025,
MEM000015,0,Student,01-06-2025,
MEM000032,0,Premium,03-10-2025,
MEM000033,0,Premium,14-06-2023,
MEM000001,0,Basic,02-03-2024,
MEM000009,0,Senior,24-10-2022,
MEM000010,0,Basic,06-07-2024,
MEM000013,0,Student,24-10-2023,
MEM000018,0,Family,05-10-2025,
MEM000022,0,Basic,07-02-2023,
MEM000024,0,Student,21-03-2024,
MEM000027,0,Basic,08-02-2024,
MEM000045,0,Family,20-05-2023,
MEM000050,0,Student,14-06-2024,
MEM000052,0,Family,22-04-2025,
MEM000053,0,Premium,12-08-2025,
MEM000068,0,Basic,22-08-2023,
MEM000049,0,Premium,30-10-2023,
MEM000059,0,Basic,01-05-2023,
MEM000071,0,Premium,24-06-2023,
MEM000076,0,Student,20-03-2024,
MEM000077,0,Basic,02-02-2025,
MEM000081,0,Basic,25-08-2024,
MEM000083,0,Premium,25-01-2024,
MEM000086,0,Family,20-07-2023,
MEM000095,0,Student,22-04-2025,
MEM000096,0,Premium,15-11-2022,
MEM000056,0,Student,29-03-2023,
MEM000061,0,Student,09-06-2025,
MEM000064,0,Student,03-01-2025,
MEM000067,0,Basic,12-08-2025,
MEM000070,0,Premium,28-11-2022,
MEM000075,0,Family,24-11-2024,
MEM000085,0,Basic,20-05-2024,
MEM000089,0,Basic,09-01-2024,
MEM000092,0,Premium,03-11-2024,
MEM000094,0,Student,06-08-2024,
MEM000054,0,Basic,20-01-2025,
MEM000055,0,Basic,19-04-2025,
MEM000057,0,Basic,02-11-2023,
MEM000058,0,Family,02-07-2024,
MEM000065,0,Family,12-02-2024,
MEM000066,0,Premium,04-08-2024,
MEM000069,0,Family,29-07-2024,
MEM000072,0,Premium,24-08-2025,
MEM000074,0,Student,10-10-2025,
MEM000078,0,Basic,10-04-2025,
MEM000097,0,Basic,09-02-2023,
MEM000098,0,Student,17-04-2024,
MEM000101,0,Family,13-12-2023,
MEM000104,0,Premium,29-06-2025,
MEM000099,0,Premium,30-07-2025,
MEM000100,0,Basic,04-11-2024,
MEM000107,0,Basic,12-02-2023,
MEM000109,0,Premium,08-03-2024,
MEM000115,0,Student,07-02-2025,
MEM000120,0,Premium,23-11-2022,
MEM000127,0,Basic,08-01-2025,
MEM000128,0,Premium,01-05-2025,
MEM000140,0,Student,03-07-2023,
MEM000141,0,Basic,16-08-2024,
MEM000103,0,Student,27-03-2024,
MEM000106,0,Premium,24-01-2025,
MEM000111,0,Student,20-03-2023,
MEM000114,0,Premium,09-10-2023,
MEM000130,0,Premium,27-05-2023,
MEM000132,0,Student,15-10-2023,
MEM000134,0,Family,09-08-2025,
MEM000145,0,Student,29-04-2023,
MEM000102,0,Basic,03-09-2024,
MEM000112,0,Senior,22-10-2022,
MEM000113,0,Family,26-07-2024,
MEM000118,0,Premium,09-04-2023,
MEM000119,0,Family,01-12-2024,
MEM000147,0,Family,13-03-2024,
MEM000148,0,Premium,01-08-2023,
MEM000149,0,Senior,24-10-2024,
MEM000166,0,Basic,04-03-2024,
MEM000167,0,Basic,27-04-2023,
MEM000172,0,Premium,10-12-2023,
MEM000173,0,Family,24-07-2023,
MEM000179,0,Student,11-11-2022,
MEM000182,0,Premium,12-06-2024,
MEM000188,0,Basic,08-02-2024,
MEM000150,0,Premium,26-03-2024,
MEM000152,0,Basic,06-05-2023,
MEM000161,0,Basic,03-08-2023,
MEM000163,0,Basic,11-09-2024,
MEM000180,0,Basic,02-08-2023,
MEM000181,0,Basic,30-11-2023,
MEM000189,0,Premium,20-03-2024,
MEM000151,0,Basic,21-05-2025,
MEM000153,0,Premium,30-11-2023,
MEM000156,0,Premium,29-09-2024,
MEM000158,0,Basic,14-04-2025,
MEM000160,0,Basic,23-12-2024,
MEM000146,0,Basic,19-09-2023,
MEM000154,0,Premium,24-12-2023,
MEM000155,0,Premium,29-12-2024,
MEM000157,0,Basic,04-09-2025,
MEM000164,0,Senior,06-04-2023,
MEM000165,0,Family,28-07-2024,
MEM000178,0,Senior,13-03-2025,
MEM000195,0,Family,24-07-2023,
MEM000196,0,Premium,11-11-2022,
MEM000202,0,Premium,24-04-2023,
MEM000203,0,Premium,05-09-2024,
MEM000204,0,Basic,27-12-2024,
MEM000197,0,Basic,25-09-2024,
MEM000199,0,Family,31-07-2025,
MEM000201,0,Family,14-01-2025,
MEM000205,0,Premium,16-04-2023,
MEM000222,0,Premium,06-05-2024,
MEM000226,0,Premium,15-07-2025,
MEM000198,0,Family,22-04-2025,
MEM000215,0,Premium,01-09-2024,
MEM000221,0,Family,18-12-2022,
MEM000225,0,Family,16-06-2025,
MEM000231,0,Basic,26-09-2023,
MEM000233,0,Premium,01-04-2024,
MEM000236,0,Premium,08-11-2022,
MEM000237,0,Basic,13-09-2024,
MEM000194,0,Family,23-12-2023,
MEM000200,0,Basic,11-09-2025,
MEM000206,0,Student,03-06-2024,
MEM000208,0,Family,17-07-2025,
MEM000210,0,Student,23-02-2024,
MEM000213,0,Student,06-10-2025,
MEM000214,0,Basic,09-03-2024,
MEM000216,0,Senior,30-09-2024,
MEM000217,0,Premium,01-08-2024,
MEM000220,0,Family,30-06-2023,
MEM000229,0,Basic,15-07-2023,
MEM000239,0,Premium,23-05-2023,
MEM000240,0,Premium,26-10-2024,
MEM000241,0,Basic,24-07-2024,
MEM000245,0,Student,22-04-2023,
MEM000247,0,Basic,15-12-2024,
MEM000250,0,Premium,29-07-2024,
MEM000254,0,Student,01-09-2024,
MEM000255,0,Basic,21-07-2025,
MEM000257,0,Family,08-04-2024,
MEM000258,0,Family,14-09-2023,
MEM000246,0,Premium,26-08-2025,
MEM000252,0,Premium,02-09-2023,
MEM000266,0,Basic,04-12-2023,
MEM000269,0,Premium,29-06-2025,
MEM000274,0,Family,09-08-2024,
MEM000275,0,Student,09-05-2023,
MEM000278,0,Premium,27-03-2025,
MEM000283,0,Basic,04-08-2024,
MEM000289,0,Premium,02-01-2023,
MEM000244,0,Student,23-12-2022,
MEM000256,0,Family,17-06-2023,
MEM000277,0,Basic,05-12-2023,
MEM000279,0,Basic,07-03-2025,
MEM000282,0,Student,21-11-2022,
MEM000286,0,Student,17-12-2024,
MEM000288,0,Student,04-01-2023,
MEM000243,0,Premium,10-01-2025,
MEM000251,0,Basic,11-06-2025,
MEM000253,0,Basic,16-09-2023,
MEM000273,0,Family,07-04-2025,
MEM000294,0,Basic,22-06-2025,
MEM000295,0,Student,31-07-2024,
MEM000307,0,Basic,25-09-2024,
MEM000308,0,Student,08-12-2022,
MEM000317,0,Family,29-09-2023,
MEM000324,0,Basic,05-11-2023,
MEM000333,0,Premium,25-03-2023,
MEM000299,0,Family,11-08-2024,
MEM000300,0,Student,03-06-2024,
MEM000301,0,Premium,17-11-2022,
MEM000309,0,Basic,16-05-2025,
MEM000316,0,Basic,21-12-2024,
MEM000326,0,Family,13-05-2025,
MEM000327,0,Basic,15-08-2025,
MEM000328,0,Student,11-09-2024,
MEM000340,0,Basic,21-11-2023,
MEM000293,0,Family,04-09-2023,
MEM000297,0,Family,06-11-2022,
MEM000298,0,Premium,15-02-2024,
MEM000302,0,Premium,04-06-2025,
MEM000312,0,Senior,17-03-2023,
MEM000318,0,Premium,24-01-2023,
MEM000319,0,Senior,16-05-2025,
MEM000320,0,Basic,11-11-2023,
MEM000323,0,Premium,22-12-2023,
MEM000303,0,Basic,06-04-2023,
MEM000304,0,Basic,28-04-2023,
MEM000305,0,Student,19-10-2024,
MEM000306,0,Basic,17-03-2025,
MEM000311,0,Basic,01-09-2023,
MEM000313,0,Basic,19-02-2023,
MEM000314,0,Student,08-03-2025,
MEM000329,0,Premium,02-03-2023,
MEM000330,0,Premium,28-03-2025,
MEM000331,0,Premium,12-11-2023,
MEM000334,0,Premium,28-02-2024,
MEM000346,0,Basic,28-10-2023,
MEM000352,0,Basic,03-01-2025,
MEM000353,0,Basic,14-11-2023,
MEM000363,0,Family,14-01-2024,
MEM000373,0,Basic,26-06-2025,
MEM000375,0,Premium,17-04-2023,
MEM000377,0,Student,26-01-2024,
MEM000378,0,Basic,23-12-2024,
MEM000380,0,Premium,13-06-2024,
MEM000383,0,Family,24-09-2024,
MEM000348,0,Premium,12-03-2023,
MEM000350,0,Basic,18-12-2024,
MEM000354,0,Basic,31-10-2022,
MEM000356,0,Basic,06-03-2025,
MEM000360,0,Family,19-07-2024,
MEM000362,0,Basic,24-08-2025,
MEM000364,0,Premium,05-04-2025,
MEM000370,0,Basic,22-12-2024,
MEM000372,0,Basic,26-11-2023,
MEM000386,0,Basic,30-08-2025,
MEM000345,0,Premium,18-03-2023,
MEM000355,0,Student,08-11-2023,
MEM000357,0,Basic,22-02-2025,
MEM000367,0,Premium,06-05-2024,
MEM000368,0,Family,20-09-2023,
MEM000374,0,Student,14-12-2023,
MEM000384,0,Premium,24-05-2025,
MEM000385,0,Basic,22-04-2023,
MEM000387,0,Family,15-08-2023,
MEM000388,0,Basic,31-05-2025,
MEM000342,0,Premium,17-01-2025,
MEM000343,0,Basic,04-06-2023,
MEM000351,0,Basic,20-01-2025,
MEM000361,0,Family,08-03-2024,
MEM000365,0,Family,17-01-2023,
MEM000369,0,Student,26-01-2023,
MEM000371,0,Student,13-09-2025,
MEM000376,0,Basic,31-01-2025,
MEM000390,0,Premium,21-03-2023,
MEM000395,0,Premium,20-08-2023,
MEM000399,0,Family,04-03-2024,
MEM000400,0,Senior,14-05-2023,
MEM000407,0,Basic,23-11-2023,
MEM000408,0,Premium,21-01-2024,
MEM000427,0,Basic,24-02-2024,
MEM000434,0,Basic,17-03-2024,
MEM000392,0,Premium,06-12-2022,
MEM000393,0,Basic,08-04-2023,
MEM000398,0,Basic,28-12-2022,
MEM000404,0,Family,24-12-2022,
MEM000405,0,Premium,18-11-2024,
MEM000406,0,Premium,09-04-2024,
MEM000411,0,Basic,24-07-2023,
MEM000412,0,Basic,05-01-2023,
MEM000416,0,Basic,22-06-2025,
MEM000396,0,Basic,10-08-2024,
MEM000401,0,Basic,08-12-2022,
MEM000403,0,Basic,09-12-2023,
MEM000410,0,Basic,24-01-2023,
MEM000415,0,Family,08-11-2022,
MEM000425,0,Basic,28-09-2024,
MEM000429,0,Basic,28-02-2025,
MEM000432,0,Premium,30-11-2022,
MEM000436,0,Family,09-10-2025,
MEM000394,0,Family,27-11-2023,
MEM000402,0,Basic,18-01-2023,
MEM000409,0,Premium,14-01-2023,
MEM000413,0,Family,03-12-2024,
MEM000414,0,Basic,19-08-2024,
MEM000418,0,Premium,06-11-2023,
MEM000430,0,Premium,14-12-2024,
MEM000431,0,Student,07-01-2024,
MEM000437,0,Senior,08-12-2023,
MEM000440,0,Student,27-03-2023,
MEM000442,0,Family,18-11-2024,
MEM000445,0,Senior,26-08-2024,
MEM000452,0,Basic,01-06-2023,
MEM000455,0,Basic,24-08-2023,
MEM000463,0,Premium,29-03-2025,
MEM000472,0,Family,21-12-2024,
MEM000444,0,Premium,11-01-2023,
MEM000449,0,Premium,05-11-2022,
MEM000451,0,Family,29-12-2022,
MEM000453,0,Family,04-10-2023,
MEM000454,0,Basic,11-09-2025,
MEM000456,0,Basic,05-05-2024,
MEM000461,0,Premium,17-02-2025,
MEM000464,0,Basic,19-01-2023,
MEM000448,0,Premium,18-11-2024,
MEM000479,0,Basic,06-11-2023,
MEM000481,0,Premium,29-08-2025,
MEM000485,0,Basic,09-03-2024,
MEM000439,0,Basic,03-09-2023,
MEM000441,0,Student,18-06-2025,
MEM000447,0,Premium,11-01-2023,
MEM000457,0,Premium,18-06-2023,
MEM000458,0,Premium,05-03-2024,
MEM000459,0,Basic,19-03-2024,
MEM000462,0,Basic,14-01-2023,
MEM000465,0,Family,24-03-2024,
MEM000002,0,Premium,15-03-2024,
MEM000003,0,Premium,29-04-2023,
MEM000007,0,Premium,29-10-2023,
MEM000016,0,Senior,03-06-2025,
MEM000019,0,Family,05-05-2024,
MEM000020,0,Basic,03-04-2023,
MEM000025,0,Student,22-03-2023,
MEM000026,0,Premium,12-09-2023,
MEM000030,0,Basic,31-12-2023,
MEM000031,0,Basic,06-04-2025,
MEM000035,0,Premium,03-11-2024,
MEM000040,0,Family,07-12-2023,
MEM000043,0,Senior,22-10-2024,
MEM000051,0,Basic,29-03-2024,
MEM000060,0,Family,27-06-2025,
MEM000062,0,Family,07-04-2025,
MEM000063,0,Basic,29-02-2024,
MEM000124,0,Basic,21-02-2025,
MEM000135,0,Basic,05-10-2024,
MEM000136,0,Premium,18-02-2025,
MEM000142,0,Basic,14-04-2024,
MEM000159,0,Premium,06-05-2025,
MEM000162,0,Basic,19-03-2025,
MEM000169,0,Family,17-06-2024,
MEM000170,0,Family,17-08-2025,
MEM000174,0,Basic,09-07-2024,
MEM000177,0,Senior,11-08-2023,
MEM000184,0,Basic,10-01-2025,
MEM000186,0,Basic,10-09-2025,
MEM000187,0,Family,05-03-2024,
MEM000192,0,Premium,12-02-2024,
MEM000207,0,Student,23-05-2024,
MEM000218,0,Basic,10-11-2024,
MEM000486,0,Basic,30-07-2023,
MEM000487,0,Basic,20-12-2023,
MEM000492,0,Premium,02-01-2025,
MEM000488,0,Premium,15-01-2024,
MEM000489,0,Basic,08-06-2023,
MEM000494,0,Basic,09-12-2024,
MEM000490,0,Basic,13-01-2023,
MEM000491,0,Premium,01-10-2025,
MEM000493,0,Basic,19-11-2023,
MEM000227,0,Premium,25-12-2024,
MEM000230,0,Premium,28-12-2024,
MEM000235,0,Premium,29-12-2023,
MEM000248,0,Basic,13-04-2023,
MEM000249,0,Premium,18-02-2025,
MEM000262,0,Basic,26-08-2025,
MEM000265,0,Basic,01-12-2022,
MEM000268,0,Student,15-08-2024,
MEM000271,0,Family,15-06-2023,
MEM000276,0,Family,19-04-2024,
MEM000280,0,Premium,29-09-2024,
MEM000292,0,Premium,03-01-2025,
MEM000296,0,Premium,13-05-2023,
MEM000310,0,Premium,08-12-2023,
MEM000315,0,Basic,18-06-2025,
MEM000321,0,Basic,05-07-2025,
MEM000322,0,Family,28-08-2024,
MEM000325,0,Basic,29-09-2023,
MEM000332,0,Premium,18-09-2023,
MEM000339,0,Basic,15-12-2023,
MEM000341,0,Basic,28-05-2023,
MEM000344,0,Basic,23-03-2023,
MEM000347,0,Family,04-04-2024,
MEM000349,0,Basic,28-05-2025,
MEM000358,0,Student,14-10-2024,
MEM000359,0,Student,24-07-2023,
MEM000366,0,Basic,22-11-2022,
MEM000379,0,Basic,11-05-2023,
MEM000381,0,Premium,13-03-2025,
MEM000382,0,Basic,03-04-2025,
MEM000389,0,Basic,05-08-2024,
MEM000391,0,Family,26-03-2025,
MEM000397,0,Family,27-02-2024,
MEM000417,0,Family,28-07-2023,
MEM000420,0,Basic,19-08-2023,
MEM000424,0,Basic,21-07-2025,
MEM000428,0,Premium,18-12-2024,
MEM000433,0,Basic,16-05-2023,
MEM000435,0,Student,09-09-2023,
MEM000438,0,Senior,30-01-2025,
MEM000443,0,Premium,15-07-2024,
MEM000446,0,Premium,22-11-2024,
MEM000450,0,Family,02-01-2023,
MEM000460,0,Premium,12-10-2023,
MEM000471,0,Basic,13-04-2023,
MEM000476,0,Family,20-05-2023,
MEM000478,0,Premium,26-02-2023,
MEM000500,0,Student,08-12-2023,
MEM000073,0,Basic,21-01-2024,
MEM000079,0,Basic,08-06-2023,
MEM000080,0,Basic,25-03-2023,
MEM000082,0,Premium,08-12-2023,
MEM000084,0,Basic,13-02-2024,
MEM000087,0,Basic,23-10-2022,
MEM000088,0,Family,01-08-2024,
MEM000090,0,Basic,26-11-2024,
MEM000091,0,Premium,26-05-2023,
MEM000093,0,Senior,29-04-2025,
MEM000105,0,Student,16-03-2025,
MEM000108,0,Basic,30-10-2022,
MEM000110,0,Basic,28-12-2022,
MEM000116,0,Student,02-10-2025,
MEM000117,0,Basic,11-08-2024,
MEM000121,0,Basic,24-07-2025,
MEM000122,0,Premium,04-07-2025,
MEM000123,0,Premium,03-10-2023,
MEM000129,0,Basic,23-02-2023,
MEM000131,0,Basic,04-05-2023,
MEM000190,0,Student,26-07-2024,
MEM000191,0,Senior,12-12-2023,
MEM000209,0,Basic,13-06-2025,
MEM000211,0,Basic,24-03-2024,
MEM000212,0,Basic,21-12-2024,
MEM000219,0,Basic,20-06-2024,
MEM000223,0,Basic,06-05-2023,
MEM000224,0,Premium,22-07-2023,
MEM000228,0,Premium,12-10-2023,
MEM000232,0,Family,02-05-2024,
MEM000234,0,Student,18-07-2023,
MEM000238,0,Family,21-01-2023,
MEM000259,0,Basic,07-03-2025,
MEM000260,0,Premium,24-01-2023,
MEM000261,0,Basic,19-12-2024,
MEM000263,0,Premium,19-01-2024,
MEM000264,0,Premium,24-07-2025,
MEM000267,0,Student,03-02-2023,
MEM000270,0,Student,19-07-2025,
MEM000272,0,Premium,10-06-2024,
MEM000281,0,Premium,13-07-2025,
MEM000284,0,Student,28-07-2025,
MEM000285,0,Basic,01-03-2025,
MEM000287,0,Family,03-02-2024,
MEM000290,0,Basic,10-04-2023,
MEM000291,0,Student,29-11-2024,
MEM000480,0,Basic,29-07-2025,
MEM000498,0,Basic,21-07-2023,
MEM000419,0,Family,12-08-2023,
MEM000421,0,Premium,18-09-2024,
MEM000422,0,Premium,05-12-2024,
MEM000423,0,Basic,12-10-2023,
MEM000426,0,Basic,24-03-2024,
MEM000466,0,Basic,29-04-2025,
MEM000469,0,Premium,10-10-2025,
MEM000470,0,Student,15-10-2023,
MEM000475,0,Student,15-06-2025,
MEM000038,0,Basic,05-10-2025,
MEM000039,0,Basic,19-09-2025,
MEM000041,0,Premium,01-07-2024,
MEM000048,0,Basic,24-06-2024,
MEM000168,0,Premium,12-11-2024,
MEM000171,0,Student,07-11-2023,
MEM000175,0,Premium,11-05-2023,
MEM000176,0,Student,27-03-2025,
MEM000183,0,Basic,30-08-2025,
MEM000185,0,Basic,30-01-2025,
MEM000193,0,Family,27-03-2023,
MEM000336,0,Premium,19-12-2024,
MEM000337,0,Basic,15-09-2025,
MEM000125,0,Family,09-12-2024,
MEM000126,0,Student,06-09-2025,
MEM000133,0,Senior,17-04-2023,
MEM000137,0,Premium,12-12-2022,
MEM000138,0,Premium,07-05-2025,
MEM000139,0,Student,04-08-2024,
MEM000143,0,Basic,07-08-2025,
MEM000144,0,Basic,03-07-2025,
MEM000242,0,Student,18-04-2023,
MEM000335,0,Student,06-01-2025,
MEM000338,0,Family,26-02-2023,
MEM000467,0,Basic,17-11-2023,
MEM000468,0,Student,22-05-2023,
MEM000473,0,Premium,12-02-2024,
MEM000474,0,Basic,20-02-2025,
MEM000477,0,Basic,02-11-2022,
MEM000482,0,Senior,11-10-2023,
MEM000483,0,Basic,05-01-2025,
MEM000484,0,Student,16-05-2025,
MEM000495,0,Premium,13-10-2023,
MEM000496,0,Family,20-10-2022,
MEM000497,0,Premium,30-07-2023,
MEM000499,0,Basic,12-03-2024,
